자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
합계,"4,202,888","10,197,604","5,000,005","5,197,599","9,926,968","4,871,560","5,055,408","270,636","128,445","142,191",2.36,"1,321,458"
종로구,"72,654","162,820","79,675","83,145","153,589","75,611","77,978","9,231","4,064","5,167",2.11,"25,425"
중구,"59,481","133,240","65,790","67,450","124,312","61,656","62,656","8,928","4,134","4,794",2.09,"20,764"
용산구,"106,544","244,203","119,132","125,071","229,456","111,167","118,289","14,747","7,965","6,782",2.15,"36,231"
성동구,"130,868","311,244","153,768","157,476","303,380","150,076","153,304","7,864","3,692","4,172",2.32,"39,997"
광진구,"158,960",372164,180992,191172,357211,174599,182612,14953,6393,8560,2.25,42214
동대문구,159839,369496,182932,186564,354079,177021,177058,15417,5911,9506,2.22,54173
중랑구,177548,414503,206102,208401,409882,204265,205617,4621,1837,2784,2.31,56774
성북구,188512,461260,224076,237184,449773,219545,230228,11487,4531,6956,2.39,64692
강북구,141554,330192,161686,168506,326686,160353,166333,3506,1333,2173,2.31,54813
도봉구,136613,348646,171026,177620,346629,170289,176340,2017,737,1280,2.54,51312
노원구,219957,569384,276823,292561,565565,275211,290354,3819,1612,2207,2.57,71941
은평구,201869,494388,240220,254168,489943,238337,251606,4445,1883,2562,2.43,72334
서대문구,137207,327163,156765,170398,314982,152613,162369,12181,4152,8029,2.3,48161
마포구,169404,389649,185889,203760,378566,181346,197220,11083,4543,6540,2.23,48765
양천구,176921,479978,237117,242861,475949,235278,240671,4029,1839,2190,2.69,52975
강서구,247696,603772,294433,309339,597248,291249,305999,6524,3184,3340,2.41,72548
구로구,172272,447874,224436,223438,416487,207114,209373,31387,17322,14065,2.42,56833
금천구,105146,255082,130558,124524,236353,120334,116019,18729,10224,8505,2.25,32970
영등포구,165462,402985,202573,200412,368072,183705,184367,34913,18868,16045,2.22,52413
동작구,173033,412520,201217,211303,400456,195775,204681,12064,5442,6622,2.31,56013
관악구,253826,525515,264763,260752,507203,256090,251113,18312,8673,9639,2,68082
서초구,173856,450310,216264,234046,445994,214036,231958,4316,2228,2088,2.57,51733
강남구,234107,570500,273301,297199,565550,270726,294824,4950,2575,2375,2.42,63167
송파구,259883,667483,325040,342443,660584,321676,338908,6899,3364,3535,2.54,72506
강동구,179676,453233,225427,227806,449019,223488,225531,4214,1939,2275,2.5,54622
